Time;Angle1;Angle2;AngularVel1;AngularVel2;A;B;C;AB;BC;gt_Angle1;gt_Angle2;abs_err_Angle1;abs_err_Angle2
79.8179;2.152701444934782;-2.4659776259284536;-4.001987509741663;38.195829964344576;[500. 500.];[689.7 375.3];[621.1 589.2];[ 189.7 -124.7];[-68.6 213.9];2.152323761219288;-2.4626711776295083;0.0003776837154938484;0.0033064482989453303
80.8069;1.3777751922357404;2.988890394177303;22.793109959991867;;[500. 500.];[720.  542.8];[507.9 466.5];[220.   42.8];[-212.1  -76.3];1.3786509812173287;2.9884161726720877;0.0008757889815882436;0.0004742215052151444
81.8369;0.647127566150547;2.305825871214743;-16.811879648020582;57.259994471136686;[500. 500.];[632.5 677. ];[675.2 455.5];[132.5 177. ];[  42.7 -221.5];0.642596540971256;2.3085557527339664;0.004531025179291048;0.002729881519223376
82.8579;1.6465439780677704;2.584271026950551;2.858401934825576;25.749645091060202;[500. 500.];[723.8 484.1];[524.1 379. ];[223.8 -15.9];[-199.7 -105.1];1.6417227303430344;2.5862089595615814;0.004821247724736022;0.0019379326110304795
83.9655;-1.7366786797932163;3.06358094173444;-19.758369568519992;33.461885453887604;[500. 500.];[277.1 463.4];[495.9 516.6];[-222.9  -36.6];[218.8  53.2];-1.7335432621026852;3.0658235673780987;0.0031354176905311615;0.0022426256436585135
84.9298;-0.8077586532193824;0.7986679945543226;4.967042320187358;-37.56375732680115;[500. 500.];[339.  652.3];[337.5 873.6];[-161.   152.3];[ -1.5 221.3];-0.8131599406331732;0.8063819151965929;0.005401287413790756;0.007713920642270278
85.9767;1.3550301303878542;-3.1275888015030318;-2.493199412496188;10.08943289909826;[500. 500.];[719.  547.6];[498.  503.3];[219.   47.6];[-221.   -44.3];1.356773557923;-3.125400491960503;0.0017434275351457806;0.002188309542528799
86.9889;-0.8302398784763322;2.1539000481887958;4.380097561449926;15.066890553314778;[500. 500.];[335.3 649.4];[554.5 704.1];[-164.7  149.4];[219.2  54.7];-0.8340702942863815;2.160317372850188;0.0038304158100492813;0.006417324661392332
88.0232;-0.2901518800380245;0.4545531734363541;-10.006375368047118;37.96957135255998;[500. 500.];[436.2 711.1];[472.2 928.5];[-63.8 211.1];[ 36.  217.4];-0.29349813980081507;0.4576023532562424;0.003346259762790571;0.0030491798198882814
89.005;-0.06838634359050376;-0.45188084641954324;8.49620163446325;-2.134362171364485;[500. 500.];[484.7 719. ];[374.  911.1];[-15.3 219. ];[-110.7  192.1];-0.06974968199318966;-0.4530327798617752;0.0013633384026859041;0.0011519334422319671
90.0382;-0.0865412943435607;-0.909950202276635;-16.129210337891266;8.274471076150428;[500. 500.];[480.6 718.7];[293.6 840.5];[-19.4 218.7];[-187.   121.8];-0.08847441379268857;-0.9050074433353053;0.0019331194491278708;0.0049427589413297834
91.0237;0.31455643390635035;2.697717118091562;1.9239709989833198;-8.177663978439323;[500. 500.];[567.9 709.6];[596.7 485.5];[ 67.9 209.6];[  28.8 -224.1];0.3132822624979925;2.7004969123104967;0.0012741714083578382;0.002779794218934928
92.055;-0.35770627471724165;-1.3203007088582646;-0.21306782618855494;-14.480315981916032;[500. 500.];[422.2 706. ];[199.4 682. ];[-77.8 206. ];[-222.8  -24. ];-0.36110934996557437;-1.3169931362319844;0.003403075248332721;0.0033075726262801197
93.0518;-0.0865412943435607;1.9411317303467843;3.865285636721267;4.980821660927487;[500. 500.];[480.3 718.9];[696.7 655.6];[-19.7 218.9];[216.4 -63.3];-0.08975364259795611;1.9451246770198145;0.0032123482543954113;0.003992946673030184
94.134;-0.10965017216890918;-1.045654058685096;1.566325055300328;-18.57267806461523;[500. 500.];[475.5 718. ];[270.7 808.3];[-24.5 218. ];[-204.8   90.3];-0.11191571534966227;-1.0436049214785799;0.002265543180753088;0.002049137206516116
95.1315;-0.12322568954970846;-0.2201042484134629;6.060840255093787;-9.067533893009909;[500. 500.];[472.8 717.6];[397.9 925.5];[-27.2 217.6];[-74.9 207.9];-0.12435499454676072;-0.2214390218911849;0.0011293049970522578;0.0013347734777219844
96.18;0.49209521717082877;-0.5553590973881544;-1.4918627246885043;-5.864796825326682;[500. 500.];[603.6 694. ];[589.5 915.5];[103.6 194. ];[-14.1 221.5];0.49049225719660666;-0.5540633670675948;0.0016029599742221068;0.0012957303205595183
97.1926;-0.44735577154616607;0.14718460071605383;-2.24142103089491;19.963394957827017;[500. 500.];[404.2 698. ];[339.2 909.2];[-95.8 198. ];[-65.  211.2];-0.45063492344037576;0.15206944940020853;0.0032791518942096864;0.004884848684154702
98.2474;0.42700414094334005;0.01838991754736942;0.48489813293926864;;[500. 500.];[590.8 700.2];[685.5 898.9];[ 90.8 200.2];[ 94.7 198.7];0.4257992424315465;0.0189520181634494;0.0012048985117935618;0.0005621006160799816
99.3196;-0.37796831149627325;0.15388869535335456;0.540836838906445;6.62641332796857;[500. 500.];[418.7 704.5];[368.9 919.5];[-81.3 204.5];[-49.8 215. ];-0.3783968536193338;0.15078289910284695;0.00042854212306053796;0.0031057962505076087
100.3702;0.35770627471724165;-0.03307388391808654;-1.0374475333608426;-2.4486561306004933;[500. 500.];[576.5 706. ];[646.5 914.9];[ 76.5 206. ];[ 70.  208.9];0.3555749421349508;-0.032245517225944396;0.002131332582290868;0.0008283666921421462
101.4207;-0.31887699908756595;-0.12847877245859915;1.4294435429734371;-0.7696057804677091;[500. 500.];[430.6 709.2];[335.5 907.8];[-69.4 209.2];[-95.1 198.6];-0.32031583515150525;-0.12627066282765095;0.0014388360639392972;0.0022081096309481962
102.4702;0.2814266031600145;0.25352847062608275;-1.050480263426745;0.9513328482848393;[500. 500.];[560.5 711.2];[672.6 900.7];[ 60.5 211.2];[112.1 189.5];0.27898741680588846;0.2552006638888335;0.002439186354126044;0.001672193262750754
103.5198;-0.17863100651394923;-0.2910894023269609;2.695500571480933;-0.21649335135653205;[500. 500.];[459.9 715.8];[359.9 913.3];[-40.1 215.8];[-100.   197.5];-0.18372471109786112;-0.2849733600120175;0.0050937045839118955;0.006116042314943393
104.5927;0.19204801724073015;0.24706463869734055;-1.2069075549858483;-1.150752241772598;[500. 500.];[540.5 715.8];[634.8 915.7];[ 40.5 215.8];[ 94.3 199.9];0.18551581503062833;0.25526591553317496;0.006532202210101812;0.008201276835834409
