Time,Angle1,Angle2,AngularVel1,AngularVel2
"10,0997","0,4514530915525542","0,8261563386844601","2,445277777756859","43,16529099549505"
"10,1416","1,695151321341658","3,092985310315908","29,68253531716235","54,10093011053569"
"10,1894","2,275122577647181","-2,2349656056265106","12,133289880869","19,98398308027601"
"10,2377","2,4028894942356755","-1,04098247400569","2,6452777761592494","24,720147652604407"
"10,3311","1,8995397741968723","1,9958160305622568","-5,389183298060048","32,513902618500836"
"10,3815","1,2433961149946702","-1,0442368885430966","-13,018723396868687","64,34786484274073"
"10,4259","0,3720677588581202","1,4372208355467642","-19,62451252559817","55,88868747950193"
"10,4723","-0,35770627471724165","3,0177249529406667","-15,727888654641346","34,06258873693739"
"10,522","-1,0102867940994915","-1,8830769369530298","-13,13039274410975","27,81455567979679"
"10,8336","-0,9038126337658149","1,1390090002424775","0,34170141313760116","9,698606987148603"
"10,899","0,9290953960750346",,"28,026116664233786",
"10,9614","1,592916612023652","-1,1714974051358478","10,638160511997034",
"11,024","2,006891854547944","0,31348733846461235","6,613023043519066","23,72180101598188"
"11,0748","1,9733759784718632","1,323635120699752","-0,6597613400803217","19,884798862896208"
"11,1363","1,9414588873407335","2,3431951806577143","-0,5189770915630804","16,578212357039884"
"11,1802","1,5841288700890424","-1,3761703228361082","-8,139635928284733","58,40136227074774"
"11,2257","0,8714471322667399","0,6811693794551785","-15,663334897193275","45,21625719321455"
"11,2698","0,13675571173090462","2,2634355253271425","-16,659669399905468","35,8790509268017"
"11,3589","-0,6181442259351871","-3,0547218414964212","-8,472502106241192","10,830841081436818"
"11,4233","-1,713321127707061",,"-17,005852511985854",
"11,4872","-2,271756242169987","0,9569030513797727","-8,73920366921633",
"11,5496","-1,9207084481794312","2,2962314778396253","5,62576592933581","21,463596577882175"
"11,6239","-0,5528412215925395","2,154601100570417","18,410056885422275","-1,9061961947403325"
"11,6897","0,2614788157122492","0,926302778027015","12,375684457519695","-18,66714775901843"
"11,78","2,0560940957794127","-3,0154353296230956","19,87392336729989","-43,651584802327214"
"11,846","2,246913730640543","2,6768804008551346","2,891206588804971","-8,95256934395985"
"11,9081","2,2813346424815784","2,12338735932933","0,5542819942195802","-8,912931425536426"
"11,9759","2,1233181106088104","2,189463825836268","-2,330627313757637","0,9745791520197364"
"12,0631","1,3096203761772698","2,762832542699254","-9,33139603705884","6,575329321823151"
"12,133","-0,2339537515122406","-2,795997429252985","-22,082605546345324","10,362737270777687"
"12,1919","-1,4680207158146654","-1,1735031945598149","-20,95190092194224","27,546591420936075"
"12,2766","-1,881342868235262","-0,012659616003929956","-4,8798365102786025","13,705355118723588"
"12,3828","-1,827666321288953","2,3191951496539334","0,5054288789671306","21,957201183219173"
"12,4771","-0,5264452546902201","2,221596576031878","13,798738776232515","-1,0349795718139423"
"12,5524","1,0650050112004932","-0,7817518323396941","21,134797687791576","-39,88510502485468"
"12,6048","1,9274976777221915","-2,8842749675091475","16,45978371224657","-40,12448731239516"
"12,6726","2,0324715517656564","2,301888337933629","1,5482872277797166","-16,180265512342306"
"12,738","1,8855539881862056","2,0635152595995243","-2,2464459262912855","-3,644848292570389"
"12,8161","1,1452828324645323","1,9064622814306331","-9,47850391448994","-2,010921615478736"
"12,8964","0,21521898420410698","0,5573593687204409","-11,582364237365288","-16,800783470861802"
"12,9677","-0,49209521717082877","-1,5702299379890485","-9,920255278750739","-29,839962225939203"
"13,0262","-1,5217286010667805","-1,2066786175390625","-17,600570664888465","6,21455248632469"
"13,0804","-1,79525951009373","-0,864394891538437","-5,0466957385046225","6,31519789669053"
"13,1393","-1,8869289627665835","-0,7033071266683769","-1,5563574307784622","2,734936585230162"
"13,2186","-1,5350972141155728","-1,0084176101025133","4,43671814187908","-3,84754707987562"
"13,2874","-0,5629137660417772","-1,220228633690092","14,13057337316573","-3,078648598656689"
"13,344","0,1733574482538219","0,6440810286910933","13,008325340911751","-78,07200785862963"
"13,3889","0,634451582079501","1,2325326866883608","10,269357100794597","13,10582757232217"
"13,439","1,14120368298072","1,2501201193828146","10,114812393237806","0,35104656076753843"
"13,4858","1,5263811115479857","1,0436009128022452","8,230286935198112","-4,412803559413944"
"13,5502","1,7760110148662838","0,9019340297227032","3,8762407347561267","-2,19979632111087"
"13,6067","1,624079178354589","1,147090789949629","-2,6890590533043444","4,339057703131448"
"13,6558","1,3041525816201334","1,4871258597342576","-6,515816634103063","6,925357836754252"
"13,7019","0,22952735424329074","1,538664532401487","-23,310742459367056","1,1179755459268614"
"13,7505","-0,1599131231582192","0,6053071816489294","-8,013178547356102","-19,204883760340525"
"13,8008","-0,2944976191627293","-0,8991284315711472","-2,6756361034693854","-29,90925672405718"
"13,8605","-1,1252190398203148","-2,109850394928068","-13,914931669306425","-20,280099888725836"
"13,9053","-1,4813495404952377","-2,3384586764983237","-7,9493415329223165","-5,102863427907454"
"13,9512","-1,6868642182377693","-2,6474956714615168","-4,477443959532318","-6,732832134274416"
"14,0003","-1,7322739487477765","-3,118243259864275","-0,9248417619146206","-9,587527258712127"
"14,0512","-1,5975756378146626","2,518643178321753","2,6463322383715693","-12,697423752329133"
"14,0968","-1,2476313461844881","1,6372661004462152","7,674216921714301","-19,328444690252887"
"14,1422","0,10463923966173708","-1,4876299480066544","29,78569572348463","-68,83030943728672"
"14,1871","0,7502688512262587","-2,290101625838174","14,379278653998773","-17,872420441682596"
"14,2662","1,699544483633586","-2,320827027100151","12,000956161913054","-0,3884374369402872"
"14,32","1,853351279264484","-1,8935082512851542","2,858862372321484","7,942728174999831"
"14,3798","1,4684763327479373","-0,46301646671692354","-6,436035894925617","23,92126730047241"
"14,4212","0,941669789400717","0,7065967525727901","-12,724795733024273","28,25152703598259"
"14,4671","0,3332443011116726","1,5465734232192636","-13,255457261199338","18,300145329988688"
"14,5205","-0,3088387899010123","1,759145370707747","-12,024027921585883","3,980748080308684"
"14,5645","-0,7822032860888732","1,2095764912326306","-10,758284004269449","-12,490201806252507"
"14,6091","-0,8523904153581956","-0,14298126090141658","-1,5737024499848384","-30,326406998521858"
"14,6558","-0,839657950465908","-1,5007649768784854","0,272643787843421","-29,07459777252854"
"14,7017","-1,103116481582997","2,727195659937586","-5,73983727923924","-44,77613660922555"
"14,7682","-0,961546920948705","1,487363308696772","2,1288655734480146","-18,644095507380786"
"14,8137","-0,4209905742522456","-0,4313998411059497","11,88035926805391","-42,17061867698239"
"14,859","0,4555341967702366","3,097959474110527","19,349332693653356","-60,79086074973855"
"14,9031","0,7375114778589958","2,0625591867189965","6,39404265507387","-23,47846456670124"
"14,951","1,0026915943204693","0,8955858831656143","5,536119341575614","-24,362699447878402"
"15,0034","1,2716407964849532","-0,5310843481663887","5,132618361917762","-27,226531132290823"
"15,058","0,9065961045024766","-2,0077925116419753","-6,685800219459199","-27,045937059992106"
"15,1242","0,34760685975590194","-1,931676743234973","-8,443946295265446","1,149785021253805"
"15,1675","-0,2614788157122492","-1,2198707247829885","-14,066643775245874","16,438938070484504"
"15,2172","-0,8876048815047018","0,11502652858015451","-12,598109975703366","26,859099665254586"
"15,3114","-1,5618679926150598","2,4384948713657812","-7,157782495863618","24,66526903169436"
"15,3552","-1,3355999603182338","2,691580886711472","5,1659368104299155","5,778219528440535"
"15,4192","-0,9263918758805726","2,693713440725947","6,3938763193384505","0,03332115647617509"
"15,4618","0,14574812670843743","1,573274284106825","25,167605694577585","-26,301388653030916"
"15,5129","0,718405911436701","0,20251996594624783","11,206610268654881","-26,824937733083743"
"15,5736","1,2094064901719894","-1,2407863208013992","8,088971643085392","-23,777698298972513"
"15,6188","1,3366397519850959","-2,7291686204807593","2,814895172856371","-32,92881193980924"
"15,6788","1,0488647044323658","-3,1371487722013827","-4,796250792545462","-6,799669195343667"
"15,7272","0,6018208194601563","2,885495228101282","-9,236443904384663","-5,383084852829066"
"15,7767","0,05449145624073105","2,6135529217602675","-11,05715885291766","-5,49378396648513"
"15,8421","-0,647127566150547","1,020115287950608","-10,728119608429271","-24,364489813603228"
"15,9081","-0,40072266213803437","-2,034173287599866","3,7334076365532813","-46,277099629553376"
"15,9804","-0,5185820985138878","-3,096558830664699","-1,6301443482137348","-14,694129226346186"
"16,0438","-0,26705013357844887","0,5285289492906982","3,9673811504011542","-41,92582850511243"
"16,1102","0,3762941021099521","-2,6350067529450443","9,688919212175003","-47,64360997343128"
"16,178","0,3821955646949353","2,5986343482690235","0,08704222101744889","-15,480003037839081"
"16,2274","0,6244644241412693","0,03538400214765296","4,904227924015002","-51,88765882836935"
"16,2733","0,7375114778589958","-1,367620530176035","2,4628987738066987","-30,566547545178647"
"16,3226","0,48995732625372834","-2,1270281310766515","-5,021382385502145","-15,403805292101024"
"16,3695","0,03634762101902216","-2,4365388580770677","-9,67184872568726","-6,599375842226743"
"16,4602","-0,98404216204941","-1,936454365966768","-11,250162988626373","5,513610717864278"
"16,5077","-1,0203230276158817","-1,6835642994622368","-0,7638076961362554","5,3240014000954545"
"16,5506","-0,916475081216306","-1,4492429305696517","2,4206980512721876","5,462036570922795"
"16,5995","-0,7115775670512839","-1,1455231738815401","4,190133214008656","6,211037969082072"
"16,6539","-0,48193825195762635","-0,6171623498671828","4,221310939221561","9,712515147322547"
"16,7105","0,004545423241065232","0,780852740156389","8,595117936372713","24,699913251300053"
"16,7604","0,4108511913017853","0,8952753635027337","8,142400161537322","2,293038544014882"
"16,8023","0,8108703599081708","0,6552867272249886","9,546996864114606","-5,727652417130192"
"16,852","1,1111567123645145","0,29972649127216316","6,04197892266268","-7,154129496032502"
"16,8999","1,261774929258857","0,027594794376024773","3,1444304153308376","-5,68124628175672"
"16,9445","1,0388446764722006","0,03770135339317271","-4,998436161135497","0,22660446226787756"
"16,9957","0,6895390162874351","0,2705313461182525","-6,822376175483979","4,547460795411901"
"17,0571","0,2526962607267005","0,45888130632458296","-7,114702859295466","3,0675889284419133"
"17,1224","-0,4960905826813406","-0,003978160533973835","-11,466873559081693","89,13209556387407"
"17,1872","-0,910148884081052","-0,8280166938287312","-6,389788601847226","-12,71664403232616"
"17,2461","-1,0002700961072608","-1,1148067156336157","-1,530071511480684","-4,869100539981248"
"17,3098","-0,7822032860888732","-1,681173804097152","3,423340816615149","-8,891163084199837"
"17,3747","-0,4758173935642194","-1,8519935540611931","4,7208920265739085","-2,632045453991328"
"17,4387","0,23837082978675106","-1,2916794156075388","11,159190989858903","8,75490841333834"
"17,4936","0,3231852736417788","-0,2140318107329012","1,5448896877054246","19,629282420303074"
"17,5762","0,4251271191589453","1,8552635336722605","1,2341627786582001","25,05200174824671"
"17,6243","0,7213831855631042","2,921687625200234","6,15916977971204","22,170979033844876"
"17,6672","0,7311383763289886","-2,771534622779283","0,22739372414649173","13,75205266200643"
"17,7158","0,5992662072903374","-2,015065792161293","-2,7134191160216057","15,5652022760902"
"17,7637","0,2814266031600145","-0,8818663763394907","-6,63548234092553","23,657607845967384"
"17,8123","-0,22407961614291916","0,7769208377354584","-10,40136253709731","34,13142415792047"
"17,8598","-0,7086262721276703","2,6656902291639364","-10,20098223125804","39,76356613533685"
"17,9217","-0,7213831855631042","-3,0796950057383397","-0,20608907003931598","8,68820795278349"
"17,9672","-0,6181442259351871","-2,6483552985250305","2,2689881236906353","9,479993565128302"
"18,0167","-0,4251271191589453","-2,2249367060658676","3,8993354904289803","8,553910958770643"
"18,0611","-0,12322568954970846","-0,7545604699273089","6,799581747955854","33,11658189501292"
"18,1094","-0,17782510500842622","0,5600206697033613","-1,1304226803046893","27,217000820510137"
"18,1533","-0,06838634359050376","1,4777050484325203","2,4929102828683525","20,903972180618315"
"18,2018","0,21521898420410698","1,899054937303833","5,847532531847993","8,687626574666762"
"18,2498","0,5062182229295714","2,0275724345462613","6,062484140113612","2,6774478592171556"
"18,2972","0,702256931509007","2,0075498369773404","4,135837733743397","-0,4224176702304038"
"18,3393","0,69879857870975","1,8324349483320466","-0,08214614725075725","-4,159498542643424"
"18,386","0,5163371328704748","1,6684782309323625","-3,907097341312293","-3,5108504796507924"
"18,4341","0,2901518800380245","1,3075437865829753","-4,702396108782595","-7,503834601858113"
